"brand","name","size","price","currency","description","benefits","directions","ingredients","sku","categories","image_local","image_url","source_url","manual_review","review_notes"
"VitaDerm","Ultra-Light Moisture Cream","60ml tube with flip cap","520","ZAR","This Ultra-Light Moisture Cream is a light-textured emulsion and is easily absorbed into the skin. It effectively balances skin sebum production and offers soothing and healing properties. Ideal for young, normal to oily and combination skin.","This Ultra-Light Moisture Cream is a light-textured emulsion and is easily absorbed into the skin. It effectively balances skin sebum production and offers soothing and healing properties. Ideal for young, normal to oily and combination skin.","Apply to a cleansed and toned skin. Use morning and/or evening.","AQUA, BUTYLENE GLYCOL, GLYCERYL MONOSTEARATE, SODIUM PCA, POLYSORBATE 85, SORBITOL, DISODIUM EDTA, MATRICARIA CAMOMILLA (FLOWER) EXTRACT, CITRUS AURANTIUM (LEAF) EXTRACT, LAVENDULA OFFICINALIS (FLOWER) EXTRACT, SANTALUM ALBUM (BARK) EXTRACT, ALLANTOIN, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-ULMC60","Normal Combination | Skincare","images/webp/ultra-light-moisture-cream.webp","https://vitaderm.co.za/wp-content/uploads/2024/07/ULMC60p.jpg","https://vitaderm.co.za/product/ultra-light-moisture-cream/","false",""
"VitaDerm","Anti-Oxidant Cream","60ml tube with flip cap","520","ZAR","This Anti-Oxidant Cream is a nutrient-rich conditioning cream that is ideal as a preventative anti-ageing product for the 20’s and 30’s age group. It contains Centella Asiatica and green tea extracts to further boost the skin’s vitality. An ultra-moisturising cream that is highly recommended for normal/combination and dehydrated skin.","This Anti-Oxidant Cream is a nutrient-rich conditioning cream that is ideal as a preventative anti-ageing product for the 20’s and 30’s age group. It contains Centella Asiatica and green tea extracts to further boost the skin’s vitality. An ultra-moisturising cream that is highly recommended for normal/combination and dehydrated skin.","The Anti-Oxidant Cream may be incorporated into the day- or night- routine. For the ultimate in anti-oxidant benefits, apply the Radian-C Serum before the Anti-Oxidant Cream to a cleansed and toned skin.","AQUA, BUTYLENE GLYCOL, PERSEA GRATISSIMA (SEED) EXTRACT, POLYSORBATE 85, CAPRIC/CAPRYLIC TRIGLYCERIDE, PEG 75, PRUNUS DULCIS (SEED) EXTRACT, TOCOPHERYL ACETATE, CAMELLIA SINENSIS (LEAF) EXTRACT, CENTELLA ASIATICUM (LEAF) EXTRACT, ALLANTOIN, DISODIUM EDTA, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-AOC60","Dehydrated Skin | Skincare","images/webp/anti-oxidant-cream.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/AOC60.jpg","https://vitaderm.co.za/product/anti-oxidant-cream/","false",""
"VitaDerm","Protective Cream","60ml tube with flip cap","578","ZAR","This Protective Cream offers outstanding protection against the elements. The horse chestnut extract helps reduce redness and the sandalwood is desensitising. Assists in soothing eczema skin. Useful for rashes and insect bites. This moisture cream may be used day and night.","This Protective Cream offers outstanding protection against the elements. The horse chestnut extract helps reduce redness and the sandalwood is desensitising. Assists in soothing eczema skin. Useful for rashes and insect bites. This moisture cream may be used day and night.","","","VR-PC60","Dehydrated Skin | Mature | Sensitive | Skincare","images/webp/protective-cream.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/PC60.jpg","https://vitaderm.co.za/product/protective-cream/","true","Directions not published; Ingredients not published"
"VitaDerm","Desensitising Cream","100ml tube with flip cap","415","ZAR","This multi-functional Desensitising Cream is specifically formulated for allergy-prone skins. It provides a bridging option to calm and desensitise reactive skin. It may be used as a deeply moisturising cleansing cream as well as a moisturiser. This product is fragrance-free. It is the ideal product to use on the body, to soothe and moisturise. The calming effect makes it ideal for eczema and rashes. The Desensitising Cream is also an economical moisture cream for young, problem-free skin types.","This multi-functional Desensitising Cream is specifically formulated for allergy-prone skins. It provides a bridging option to calm and desensitise reactive skin. It may be used as a deeply moisturising cleansing cream as well as a moisturiser. This product is fragrance-free. It is the ideal product to use on the body, to soothe and moisturise. The calming effect makes it ideal for eczema and rashes. The Desensitising Cream is also an economical moisture cream for young, problem-free skin types.","","","VR-DC100","Sensitive | Uneven Skin Tone | Skincare","images/webp/desensitising-cream.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/DC100.jpg","https://vitaderm.co.za/product/desensitising-cream/","true","Directions not published; Ingredients not published"
"VitaDerm","Enzymatic Exfoliator","60ml tube with flip cap","551","ZAR","This granule-free Enzymatic Exfoliator contains extracts of papaya and pineapple to gently dissolve the bonds between keratinised cells on the surface of the skin, thereby revitalising the complexion and enhancing the absorption of treatment products. This gel-based exfoliator effectively exfoliates all skin types, including sensitive skin.","This granule-free Enzymatic Exfoliator contains extracts of papaya and pineapple to gently dissolve the bonds between keratinised cells on the surface of the skin, thereby revitalising the complexion and enhancing the absorption of treatment products. This gel-based exfoliator effectively exfoliates all skin types, including sensitive skin.","","","VR-EGE60","Breakout-Prone Skin | Normal Combination | Sensitive | Skincare","images/webp/enzymatic-exfoliator.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/EE60.jpg","https://vitaderm.co.za/product/enzymatic-exfoliator/","true","Directions not published; Ingredients not published"
"VitaDerm","Salicylic Powder Exfoliator","75g bottle with disc cap","730","ZAR","Experience the skin smoothing & brightening effect of the NEW Salicylic Powder Exfoliator. This tri-active powder formulation contains salicylic acid and fruit enzymes to effectively remove keratinised skin cells and boost skin clarity. The addition of extra fine rice powder gently polishes the surface of the skin for a refined skin texture while niacinamide (Vitamin B3) boosts skin health and brightness. VitaDerm’s Salicylic Powder Exfoliator is an advanced tri-active formulation containing Salicylic Acid, Fruit Enzymes and Niacinamide. WHAT ARE THE ACTIVE INGREDIENTS? Salicylic acid is an oil-soluble hydroxy acid that effectively exfoliates the surface of the skin as well as inside the pores to reduce the buildup of congestion, target breakouts and refine the appearance of pores. In addition, it evens out skin tone and helps fade dark spots for brighter-looking skin. Papain extract is a natural fruit-derived enzyme that helps to remove dry, keratinised skin cells, leaving the skin looking and feeling smoother and healthier. Exfoliation also helps to refine skin texture and promote cell renewal. Niacinamide (Vitamin B3) works with the natural substances in the skin to regulate sebum production and improve barrier function. It visibly minimises pore size, fights premature skin ageing, hydrates the skin and improves skin brightness. Ultra-fine rice powder has been included in the formula for its mechanical exfoliating properties. This antioxidant-rich powder gently polishes the surface of the skin for a smooth and radiant appearance. The anti-inflammatory properties of rice powder target premature skin ageing and boost overall skin health. Visible Results Improved skin texture: By exfoliating and removing the outer layer of dead skin, the skin looks smoother and fine lines are less pronounced. Brighter, more even skin tone: Regular exfoliation helps stimulate cell renewal which promotes healthy-looking skin and reduces the prevalence of hyperpigmented skin cells. Clearer skin: Salicylic acid works deeply by exfoliating inside the pores, thereby reducing the build-up of congestion that leads to breakout. The addition of niacinamide soothes the skin and regulates sebum production. HOW DOES SALICYLIC POWDER EXFOLIATOR WORK? The combination of both chemical and mechanical exfoliating ingredients in this powder exfoliator helps with removing dead skin cells as well as improves the speed of cell turnover which leaves the skin brighter, smoother and more radiant.","Experience the skin smoothing & brightening effect of the NEW Salicylic Powder Exfoliator. This tri-active powder formulation contains salicylic acid and fruit enzymes to effectively remove keratinised skin cells and boost skin clarity. The addition of extra fine rice powder gently polishes the surface of the skin for a refined skin texture while niacinamide (Vitamin B3) boosts skin health and brightness. VitaDerm’s Salicylic Powder Exfoliator is an advanced tri-active formulation containing Salicylic Acid, Fruit Enzymes and Niacinamide. WHAT ARE THE ACTIVE INGREDIENTS? Salicylic acid is an oil-soluble hydroxy acid that effectively exfoliates the surface of the skin as well as inside the pores to reduce the buildup of congestion, target breakouts and refine the appearance of pores. In addition, it evens out skin tone and helps fade dark spots for brighter-looking skin. Papain extract is a natural fruit-derived enzyme that helps to remove dry, keratinised skin cells, leaving the skin looking and feeling smoother and healthier. Exfoliation also helps to refine skin texture and promote cell renewal. Niacinamide (Vitamin B3) works with the natural substances in the skin to regulate sebum production and improve barrier function. It visibly minimises pore size, fights premature skin ageing, hydrates the skin and improves skin brightness. Ultra-fine rice powder has been included in the formula for its mechanical exfoliating properties. This antioxidant-rich powder gently polishes the surface of the skin for a smooth and radiant appearance. The anti-inflammatory properties of rice powder target premature skin ageing and boost overall skin health. Visible Results Improved skin texture: By exfoliating and removing the outer layer of dead skin, the skin looks smoother and fine lines are less pronounced. Brighter, more even skin tone: Regular exfoliation helps stimulate cell renewal which promotes healthy-looking skin and reduces the prevalence of hyperpigmented skin cells. Clearer skin: Salicylic acid works deeply by exfoliating inside the pores, thereby reducing the build-up of congestion that leads to breakout. The addition of niacinamide soothes the skin and regulates sebum production. HOW DOES SALICYLIC POWDER EXFOLIATOR WORK? The combination of both chemical and mechanical exfoliating ingredients in this powder exfoliator helps with removing dead skin cells as well as improves the speed of cell turnover which leaves the skin brighter, smoother and more radiant.","Decant a small amount of Salicylic Powder Exfoliator into the palm of the hand and create a creamy paste by adding a few drops of water. Apply to damp skin using gentle circular motions for one minute, avoiding the eye area. Rinse thoroughly. Pat dry and follow with a moisturiser or complex. May be used once or twice a week.","ORYZA SATIVA POWDER, MICRO-CRYSTALLINE CELLULOSE, CORN STARCH, SUCROSE, SODIUM COCOYL ISETHIONATE, ALLANTOIN, HYDROGENATED CASTOR OIL, HYDROGENATED JOJOBA OIL, SODIUM BENZOATE, TREHALOSE, SALICYLIC ACID, PAPAIN, NIACINAMIDE, SANTALUM ALBUM (SANDALWOOD) WOOD EXTRACT, CITRUS AURANTIUM (FLOWER) EXTRACT, CITRUS PARADISI (FRUIT) EXTRACT.","VR-SPE75","Breakout-Prone Skin | Dehydrated Skin | Uneven Skin Tone | Skincare","images/webp/salicylic-powder-exfoliator.webp","https://vitaderm.co.za/wp-content/uploads/2024/07/SPE75p.jpg","https://vitaderm.co.za/product/salicylic-powder-exfoliator/","false",""
"VitaDerm","Skin Polishing Cream","60ml tube with flip cap","536","ZAR","This Skin Polishing Cream incorporates ultra-fine apricot kernel powder to polish the surface of the skin while the volcanic ash content detoxifies from deep within for noticeably smoother, healthier skin. A 2-in-1 granular exfoliator and detoxifying masque that provides a deep cleansing action. Suitable for all skin types, except those ultra-sensitive to granular exfoliation and volcanic ash.","This Skin Polishing Cream incorporates ultra-fine apricot kernel powder to polish the surface of the skin while the volcanic ash content detoxifies from deep within for noticeably smoother, healthier skin. A 2-in-1 granular exfoliator and detoxifying masque that provides a deep cleansing action. Suitable for all skin types, except those ultra-sensitive to granular exfoliation and volcanic ash.","","","VR-SPC60","Breakout-Prone Skin | Dehydrated Skin | Skincare","images/webp/skin-polishing-cream.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/SPC60.jpg","https://vitaderm.co.za/product/skin-polishing-cream/","true","Directions not published; Ingredients not published"
"VitaDerm","Skin Renewal Gel","60ml tube with flip cap","525","ZAR","This Skin Renewal Gel contains a high concentration of aloe ferox to promote rapid healing of the skin. The addition of lavender and tea tree extracts further assists in promoting healthy skin by acting as a natural anti-microbial agent. Suitable for all skin types, including sensitive, and is ideal for use on sunburnt areas as well as minor burns and abrasions. The formulation is also ideal for use on acne-prone complexions to hydrate the skin and soothe associated sensitivity.","This Skin Renewal Gel contains a high concentration of aloe ferox to promote rapid healing of the skin. The addition of lavender and tea tree extracts further assists in promoting healthy skin by acting as a natural anti-microbial agent. Suitable for all skin types, including sensitive, and is ideal for use on sunburnt areas as well as minor burns and abrasions. The formulation is also ideal for use on acne-prone complexions to hydrate the skin and soothe associated sensitivity.","Apply a generous layer to the face and neck as a masque after exfoliation. Avoid the eye area. Remove with tepid water after 10 – 15 minutes. Follow with a moisturiser or complex to retain moisture. May also be applied as a night treatment gel to reduce inflammation associated with acne-prone skin.","AQUA, ALOE FEROX, GLYCERIN, CARBOMER, LAVENDULA OFFICINALIS (LEAF) EXTRACT, MELALEUCA ALTERNIFOLIA (LEAF) EXTRACT, PHENOXYETHANOL, ETHYLHEXYL GLYCERIN.","VR-SRG60","Breakout-Prone Skin | Skincare","images/webp/skin-renewal-gel.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/SRG60.jpg","https://vitaderm.co.za/product/skin-renewal-gel/","false",""
"VitaDerm","Vitality Booster Masque","60ml tube with flip cap","525","ZAR","The Vitality Booster Masque is a nutriceutical-driven booster treatment that contains powerful Vitamins that act as super anti-oxidants. This formulation offers outstanding anti-ageing benefits while our breakthrough Vitamin C derivative not only offers incredible anti-free radical benefits but also assists in the prevention of solar damage. The Ubiquinol, together with the extract of ginger help to energize the skin at a cellular level. This rich, creamy clay formulation is highly recommended for dry, very dry and mature, environmentally damaged complexions in need of a vitality boost. Perfect as an overnight booster masque to wake up to healthier skin.","The Vitality Booster Masque is a nutriceutical-driven booster treatment that contains powerful Vitamins that act as super anti-oxidants. This formulation offers outstanding anti-ageing benefits while our breakthrough Vitamin C derivative not only offers incredible anti-free radical benefits but also assists in the prevention of solar damage. The Ubiquinol, together with the extract of ginger help to energize the skin at a cellular level. This rich, creamy clay formulation is highly recommended for dry, very dry and mature, environmentally damaged complexions in need of a vitality boost. Perfect as an overnight booster masque to wake up to healthier skin.","","","VR-VBM60","Dehydrated Skin | Mature | Uneven Skin Tone | Skincare","images/webp/vitality-booster-masque.webp","https://vitaderm.co.za/wp-content/uploads/2020/10/VBM60.jpg","https://vitaderm.co.za/product/vitality-booster-masque/","true","Directions not published; Ingredients not published"
"VitaDerm","Lipid Complex","30ml glass bottle with pipette","525","ZAR","The Lipid Complex is 100% fragrance-free and hypo-allergenic. The exceptionally light-textured patented blend of plant-based lipids used in this complex mimics the skin’s own sebum. In addition, it contains medical grade ozone to assist in the oxygenation of the skin. Recommended for all skin types, including sensitive skin, and oily skin that is prone to dehydration.","The Lipid Complex is 100% fragrance-free and hypo-allergenic. The exceptionally light-textured patented blend of plant-based lipids used in this complex mimics the skin’s own sebum. In addition, it contains medical grade ozone to assist in the oxygenation of the skin. Recommended for all skin types, including sensitive skin, and oily skin that is prone to dehydration.","","","VR-LC30","Skincare","images/webp/lipid-complex.webp","https://vitaderm.co.za/wp-content/uploads/2020/04/LC30_Glass.jpg","https://vitaderm.co.za/product/lipid-complex/","true","Directions not published; Ingredients not published"
